"Time (hr)"	"WT high"	"WT high"	"WT high"	"FEBS high"	"FEBS high"	"FEBS high"	"Shuf1 high"	"Shuf1 high"	"Shuf1 high"	"WT low"	"WT low"	"WT low"	"FEBS low"	"FEBS low"	"FEBS low"	"Shuf1 low"	"Shuf1 low"	"Shuf1 low"
0.25	0.018	0.020	0.018	0.018	0.017	0.018	0.019	0.022	0.020	0.019	0.017	0.018	0.016	0.017	0.020	0.020	0.018	0.017
0.50	0.020	0.022	0.020	0.020	0.019	0.020	0.021	0.024	0.023	0.021	0.019	0.019	0.018	0.018	0.022	0.018	0.018	0.017
0.75	0.025	0.026	0.025	0.025	0.023	0.025	0.026	0.030	0.028	0.026	0.023	0.023	0.022	0.023	0.026	0.018	0.020	0.018
1.00	0.030	0.033	0.032	0.030	0.029	0.031	0.032	0.037	0.035	0.033	0.028	0.027	0.028	0.028	0.031	0.018	0.019	0.018
1.25	0.037	0.041	0.040	0.037	0.037	0.039	0.039	0.047	0.044	0.043	0.036	0.034	0.037	0.034	0.038	0.019	0.020	0.019
1.50	0.046	0.052	0.052	0.046	0.048	0.050	0.050	0.061	0.057	0.056	0.045	0.044	0.050	0.049	0.049	0.019	0.021	0.019
1.75	0.062	0.069	0.069	0.060	0.064	0.065	0.065	0.079	0.076	0.075	0.059	0.058	0.067	0.060	0.064	0.020	0.021	0.020
2.00	0.084	0.088	0.090	0.079	0.086	0.087	0.085	0.102	0.098	0.096	0.083	0.078	0.088	0.082	0.085	0.020	0.022	0.020
2.25	0.102	0.114	0.117	0.098	0.107	0.107	0.105	0.131	0.125	0.128	0.105	0.099	0.116	0.111	0.108	0.020	0.024	0.021
2.50	0.134	0.149	0.149	0.131	0.143	0.142	0.138	0.168	0.161	0.167	0.128	0.132	0.154	0.136	0.143	0.021	0.025	0.021
2.75	0.172	0.189	0.192	0.165	0.181	0.181	0.177	0.210	0.203	0.210	0.181	0.171	0.196	0.180	0.184	0.021	0.027	0.022
3.00	0.210	0.229	0.230	0.204	0.220	0.223	0.216	0.250	0.244	0.250	0.210	0.211	0.237	0.221	0.223	0.022	0.029	0.024
3.25	0.255	0.275	0.270	0.247	0.262	0.265	0.255	0.297	0.289	0.294	0.244	0.253	0.282	0.258	0.269	0.023	0.031	0.026
3.50	0.298	0.318	0.317	0.290	0.300	0.305	0.299	0.339	0.330	0.338	0.285	0.297	0.324	0.306	0.313	0.024	0.032	0.028
3.75	0.338	0.358	0.360	0.333	0.341	0.348	0.344	0.379	0.370	0.376	0.331	0.341	0.364	0.346	0.354	0.026	0.037	0.034
4.00	0.371	0.393	0.396	0.372	0.375	0.380	0.387	0.413	0.404	0.411	0.369	0.379	0.399	0.375	0.390	0.029	0.039	0.034
4.25	0.404	0.424	0.425	0.405	0.406	0.419	0.415	0.446	0.435	0.441	0.402	0.410	0.430	0.405	0.422	0.033	0.042	0.039
4.50	0.429	0.454	0.455	0.434	0.437	0.447	0.450	0.476	0.466	0.471	0.426	0.439	0.458	0.446	0.451	0.037	0.043	0.043
4.75	0.457	0.480	0.481	0.465	0.464	0.470	0.478	0.504	0.495	0.500	0.462	0.467	0.489	0.478	0.480	0.042	0.048	0.049
5.00	0.480	0.508	0.508	0.487	0.489	0.499	0.506	0.531	0.521	0.528	0.481	0.500	0.518	0.505	0.511	0.049	0.050	0.055
5.25	0.506	0.535	0.531	0.517	0.516	0.524	0.533	0.558	0.547	0.558	0.521	0.527	0.548	0.530	0.541	0.055	0.054	0.062
5.50	0.532	0.561	0.555	0.543	0.542	0.550	0.560	0.585	0.574	0.587	0.548	0.556	0.578	0.566	0.569	0.063	0.063	0.067
5.75	0.563	0.588	0.585	0.569	0.568	0.576	0.585	0.615	0.602	0.616	0.571	0.585	0.606	0.591	0.598	0.068	0.067	0.071
6.00	0.581	0.613	0.608	0.593	0.592	0.604	0.614	0.641	0.629	0.644	0.595	0.615	0.633	0.621	0.628	0.073	0.064	0.076
6.25	0.605	0.637	0.634	0.620	0.617	0.626	0.639	0.666	0.654	0.671	0.632	0.644	0.661	0.646	0.654	0.079	0.070	0.080
6.50	0.628	0.665	0.660	0.643	0.641	0.649	0.663	0.691	0.678	0.699	0.662	0.670	0.690	0.683	0.683	0.084	0.071	0.084
6.75	0.656	0.688	0.683	0.667	0.665	0.673	0.687	0.719	0.705	0.729	0.685	0.700	0.718	0.710	0.712	0.089	0.073	0.088
7.00	0.676	0.715	0.707	0.692	0.690	0.700	0.717	0.746	0.731	0.757	0.716	0.729	0.746	0.737	0.740	0.094	0.075	0.092
7.25	0.700	0.740	0.733	0.717	0.714	0.724	0.744	0.773	0.758	0.783	0.741	0.756	0.773	0.762	0.766	0.098	0.081	0.096
7.50	0.726	0.764	0.755	0.740	0.739	0.747	0.772	0.797	0.781	0.807	0.771	0.782	0.797	0.791	0.792	0.103	0.084	0.101
7.75	0.747	0.787	0.779	0.762	0.761	0.771	0.792	0.820	0.804	0.830	0.786	0.805	0.821	0.813	0.816	0.108	0.088	0.108
8.00	0.766	0.808	0.802	0.781	0.782	0.790	0.813	0.838	0.823	0.850	0.810	0.827	0.841	0.834	0.834	0.113	0.093	0.112
8.25	0.781	0.827	0.814	0.799	0.801	0.808	0.828	0.855	0.841	0.869	0.827	0.845	0.859	0.851	0.854	0.117	0.095	0.117
