"Time (hr)"	WT	WT	WT	WT	WT	WT	Shuf1	Shuf1	Shuf1	Shuf1	Shuf1	Shuf1	FEBS	FEBS	FEBS	FEBS	FEBS	FEBS
0.25	0.010	0.018	0.016	0.013	0.016	0.016	0.021	0.032	0.015	0.018			0.028	0.019	0.017			
0.50	0.013	0.019	0.017	0.014	0.017	0.017	0.023	0.024	0.016	0.020			0.030	0.020	0.019			
0.75	0.017	0.023	0.020	0.016	0.021	0.020	0.027	0.020	0.019	0.025			0.040	0.023	0.022			
1.00	0.024	0.028	0.026	0.021	0.026	0.025	0.032	0.032	0.024	0.029			0.042	0.028	0.027			
1.25	0.034	0.035	0.032	0.026	0.032	0.032	0.040	0.040	0.029	0.036			0.050	0.036	0.035			
1.50	0.048	0.044	0.042	0.033	0.042	0.042	0.051	0.037	0.037	0.044			0.067	0.047	0.046			
1.75	0.067	0.057	0.055	0.042	0.055	0.056	0.065	0.043	0.046	0.055			0.083	0.061	0.061			
2.00	0.088	0.075	0.074	0.057	0.074	0.075	0.083	0.060	0.059	0.069			0.109	0.081	0.081			
2.25	0.117	0.095	0.094	0.075	0.096	0.099	0.102	0.083	0.074	0.087			0.124	0.105	0.106			
2.50	0.153	0.118	0.116	0.093	0.120	0.121	0.125	0.102	0.089	0.103			0.168	0.127	0.129			
2.75	0.196	0.155	0.154	0.121	0.157	0.159	0.157	0.121	0.110	0.126			0.203	0.165	0.167			
3.00	0.237	0.189	0.190	0.158	0.196	0.199	0.192	0.151	0.138	0.156			0.245	0.203	0.206			
3.25	0.283	0.229	0.227	0.188	0.236	0.239	0.237	0.183	0.170	0.191			0.296	0.243	0.245			
3.50	0.325	0.272	0.270	0.229	0.279	0.284	0.277	0.211	0.207	0.231			0.331	0.284	0.287			
3.75	0.354	0.314	0.307	0.265	0.317	0.321	0.307	0.256	0.242	0.268			0.365	0.321	0.322			
4.00	0.394	0.356	0.346	0.305	0.356	0.360	0.354	0.291	0.277	0.304			0.407	0.360	0.360			
4.25	0.424	0.388	0.378	0.337	0.390	0.392	0.386	0.329	0.313	0.340			0.438	0.393	0.392			
4.50	0.452	0.416	0.408	0.368	0.417	0.420	0.417	0.364	0.345	0.372			0.468	0.423	0.421			
4.75	0.477	0.445	0.436	0.395	0.445	0.447	0.447	0.395	0.374	0.400			0.494	0.451	0.448			
5.00	0.505	0.474	0.461	0.421	0.466	0.467	0.474	0.422	0.399	0.426			0.520	0.476	0.473			
5.25	0.530	0.499	0.488	0.442	0.493	0.497	0.501	0.454	0.426	0.450			0.547	0.502	0.496			
5.50	0.545	0.527	0.511	0.471	0.518	0.522	0.515	0.474	0.451	0.475			0.562	0.526	0.521			
5.75	0.583	0.550	0.534	0.495	0.544	0.544	0.554	0.501	0.475	0.499			0.601	0.551	0.545			
6.00	0.610	0.575	0.562	0.516	0.568	0.568	0.582	0.523	0.502	0.525			0.626	0.576	0.568			
6.25	0.633	0.600	0.585	0.542	0.592	0.593	0.609	0.549	0.524	0.547			0.652	0.602	0.593			
6.50	0.656	0.624	0.611	0.563	0.616	0.617	0.635	0.579	0.549	0.573			0.676	0.625	0.616			
6.75	0.682	0.646	0.634	0.586	0.639	0.639	0.660	0.598	0.574	0.596			0.702	0.649	0.640			
7.00	0.706	0.670	0.656	0.608	0.664	0.662	0.684	0.622	0.598	0.627			0.732	0.672	0.661			
7.25	0.730	0.696	0.681	0.635	0.689	0.686	0.713	0.641	0.623	0.645			0.749	0.696	0.686			
7.50	0.755	0.719	0.706	0.654	0.713	0.711	0.738	0.663	0.647	0.672			0.777	0.721	0.710			
7.75	0.773	0.741	0.729	0.670	0.736	0.731	0.764	0.683	0.672	0.693			0.800	0.744	0.733			
8.00	0.786	0.764	0.752	0.691	0.757	0.752	0.785	0.704	0.699	0.718			0.817	0.767	0.754			
8.25	0.811	0.780	0.773	0.710	0.777	0.772	0.805	0.722	0.721	0.739			0.836	0.787	0.774			
