WT	Shuf1		
2.4e+010	2.1700e+010		
2.2e+009	2.0900e+009		
6.9e+008	6.1700e+008		
4.3e+008	3.3900e+008		
1.6e+010	1.2500e+010		
9.5e+009	1.1700e+010		
4.2e+009	3.5400e+009		
3.8e+009	3.0200e+009		
6.6e+007	5.9017e+007		
2.3e+008	1.3900e+008		
1.9e+008	1.8700e+008		
2.2e+009	2.1400e+009		
1.2e+009	1.2500e+009		
0.0	0.0000		
2.1e+007	1.7673e+007		
2.2e+009	1.8200e+009		
3.9e+008	3.3300e+008		
2.4e+010	2.0700e+010		
0.0	2786900.0000		
0.0	0.0000		
2.0e+008	0.0000		
1.9e+008	1.6700e+008		
6.0e+008	5.4800e+008		
0.0	0.0000		
0.0	4.4588e+007		
1.2e+009	1.0600e+009		
2.9e+009	2.8300e+009		
6.6e+009	5.7300e+009		
6.4e+009	5.6500e+009		
4.1e+009	4.2400e+009		
1.8e+009	1.9900e+009		
9.3e+009	8.9900e+009		
2.2e+009	2.2000e+009		
1.9e+009	2.4200e+009		
5.2e+007	5.1630e+007		
1.1e+010	1.1500e+010		
2.1e+010	2.2600e+010		
1.3e+010	1.4300e+010		
0.0	0.0000		
6.3e+007	0.0000		
8.9e+009	9.5500e+009		
0.0	4.0054e+007		
3331100.0	0.0000		
1.8e+007	0.0000		
6.7e+007	5.4852e+007		
0.0	0.0000		
1.1e+008	1.1800e+008		
1.8e+007	0.0000		
3.5e+008	3.4700e+008		
3.3e+008	3.0300e+008		
0.0	0.0000		
6.7e+008	7.0900e+008		
2.7e+009	2.8200e+009		
2.8e+008	2.8600e+008		
1.3e+009	1.2300e+009		
1.6e+009	1.4100e+009		
4.7e+009	4.7500e+009		
6.0e+009	4.8900e+009		
6.8e+008	6.1500e+008		
4.2e+008	3.9400e+008		
0.0	0.0000		
0.0	0.0000		
0.0	0.0000		
2.0e+007	0.0000		
2.2e+008	1.8200e+008		
7.9e+007	6.1527e+007		
9.2e+008	8.3200e+008		
9.2e+009	9.2600e+009		
5.2e+007	4.4248e+007		
7.8e+007	3.8716e+007		
1.7e+009	1.6200e+009		
0.0	0.0000		
1.5e+008	1.4500e+008		
3.2e+007	0.0000		
9.0e+007	9.8068e+007		
0.0	0.0000		
1.0e+008	9.2046e+007		
4.3e+008	4.2100e+008		
2.4e+009	1.9900e+009		
1.9e+009	1.6200e+009		
3.4e+008	3.8000e+008		
0.0	2.6951e+007		
1.7e+008	1.6200e+008		
1.5e+009	1.5200e+009		
0.0	0.0000		
7.1e+007	6.1059e+007		
1.5e+010	1.5200e+010		
1.2e+008	1.0500e+008		
0.0	0.0000		
7.2e+008	8.5500e+008		
2.7e+008	3.3700e+008		
2.8e+008	2.4400e+008		
2.1e+008	1.6300e+008		
9.1e+007	1.3100e+008		
4.8e+007	0.0000		
2.1e+008	2.3000e+008		
2.7e+007	3.2361e+007		
2.3e+009	1.9500e+009		
2.1e+009	1.8600e+009		
5150600.0	0.0000		
4.7e+007	0.0000		
5.9e+009	3.5400e+009		
9.8e+008	8.6400e+008		
2.6e+009	2.4100e+009		
1.1e+009	9.6100e+008		
5779700.0	0.0000		
1.5e+009	1.2500e+009		
2.5e+007	0.0000		
1.2e+008	5.9804e+007		
0.0	0.0000		
5.0e+009	4.8900e+009		
3.3e+007	0.0000		
4.4e+009	4.1000e+009		
7.1e+008	6.6600e+008		
0.0	0.0000		
4.5e+007	5.0768e+007		
2.0e+009	2.1400e+009		
1.8e+008	1.4800e+008		
9.1e+009	8.7700e+009		
2.4e+008	2.1700e+008		
2.8e+009	3.2300e+009		
1.7e+008	2.4200e+008		
4.2e+007	4.2755e+007		
4.7e+008	4.7100e+008		
0.0	8.0656e+007		
1.6e+010	1.3100e+010		
0.0	0.0000		
1.9e+008	1.5900e+008		
1.6e+009	1.5200e+009		
0.0	4.4367e+007		
0.0	0.0000		
1.2e+008	1.4200e+008		
3.8e+008	4.4000e+008		
2.4e+008	1.8600e+008		
2.9e+008	2.8900e+008	2.89e+008	
906400.0	0.0000		
9.1e+009	7.5700e+009		
2.2e+008	2.2200e+008		
2.3e+009	1.7300e+009		
1.2e+009	1.1800e+009		
1.5e+008	1.9100e+008		
0.0	2.5934e+007		
0.0	0.0000		
4.5e+007	5.3975e+007		
8.7e+008	1.0800e+009		
7.2e+007	1.0700e+008		
1.4e+007	0.0000		
3.4e+008	3.9000e+008		
1.2e+008	1.3900e+008		
4.3e+009	4.6500e+009		
2.2e+010	1.7000e+010		
5.8e+009	5.8200e+009		
1.4e+009	1.3000e+009		
7.7e+009	7.2800e+009		
9.3e+008	1.1400e+009		
9.9e+008	6.6300e+008		
3.8e+008	2.8100e+008		
0.0	0.0000		
0.0	0.0000		
9.0e+008	7.9700e+008		
5.9e+009	5.7400e+009		
0.0	1.6850e+007		
2.5e+009	6.7000e+009		
1.0e+008	9.0615e+007		
7.1e+009	6.8400e+009		
9.9e+008	8.3900e+008		
1.4e+008	1.9000e+008		
7.1e+007	0.0000		
1.1e+009	1.5100e+009		
4.1e+008	5.3900e+008		
2.5e+009	1.9600e+009		
1.4e+009	2.6200e+009		
0.0	0.0000		
4.6e+010	4.5200e+010		
4.6e+010	4.8700e+010	4.87e+010	
8.5e+009	8.7200e+009	8.72e+009	
5.1e+009	5.0500e+009	5.05e+009	
6.2e+009	5.8000e+009	5.80e+009	
4.6e+009	4.8500e+009	4.85e+009	
5.6e+008	6.5200e+008		
8.0e+007	7.3549e+007		
8.1e+007	9.8787e+007		
0.0	0.0000		
1.5e+009	1.3000e+009		
6.3e+008	6.3700e+008		
6.6e+007	7.4536e+007		
1.1e+009	1.2500e+009		
1.8e+010	1.4200e+010		
3.0e+009	2.9400e+009		
1.6e+009	1.5500e+009		
1.1e+009	1.0800e+009		
6.8e+007	1.3200e+008		
1.3e+008	1.5700e+008		
5.7e+010	6.2200e+010		
1.4e+009	1.9800e+009		
6.9e+008	7.4400e+008		
2.3e+010	2.5600e+010		
1.4e+009	1.3600e+009		
5.5e+008	7.4600e+008		
2.6e+010	2.1300e+010		
2.5e+009	2.6500e+009		
6.3e+008	6.4800e+008		
2.1e+009	1.9900e+009		
4.1e+008	3.3700e+008		
6398600.0	0.0000		
1.2e+009	1.3000e+009		
9.9e+009	7.8700e+009		
7.5e+008	9.4700e+008		
1.0e+009	1.0300e+009		
3.9e+008	4.2900e+008		
3.3e+008	3.6600e+008		
4.3e+007	4.2155e+007		
7.4e+008	6.1900e+008		
1.0e+009	1.1700e+009		
6.2e+008	5.6800e+008		
2.4e+009	2.3600e+009		
1.4e+009	1.5200e+009		
1.4e+009	1.5000e+009		
2.2e+009	1.9200e+009		
1.2e+009	9.5100e+008		
2.4e+009	2.5600e+009		
