"Temp (C)"	WT	WT	WT	WT	FEBS	FEBS	FEBS	FEBS	Shuf1	Shuf1	Shuf1	Shuf1
3.99	96.486560	97.441050	99.677440		97.300920		94.665930	95.891380	91.650880	97.640880	96.867870	95.690730
5.98	100.128900	97.415940	97.027730		96.348910		96.177210	99.221860	85.762840	96.479980	96.913720	97.576210
7.99	90.929390	99.396020	90.345560		100.258200		95.624490	95.222880	94.969160	97.492860	94.361510	96.855100
9.99	99.931190	91.379760	99.103210		100.973700		97.094310	94.991020	94.948860	99.000230	97.630430	92.189800
11.99	93.936250	95.404570	102.160300		94.004480		101.177400	96.974390	97.687460	99.331550	96.108250	96.786100
13.97	94.093130	95.637620	92.279040		99.615540		100.319100	93.205280	99.058160	104.364900	102.856100	92.884650
15.98	97.550920	104.005900	104.153500		94.083480		103.917700	99.116440	92.686570	98.386930	96.658340	102.734800
17.99	101.943100	93.049830	104.330400		101.661400		101.765600	102.238600	101.457000	94.988840	100.526900	98.986160
19.98	99.883640	97.307140	103.714500		97.992200		99.841210	100.107300	102.974900	97.941620	99.400690	98.670660
21.98	97.522200	102.181700	101.545800		98.892820		99.779060	95.796300	101.244200	101.428300	97.878180	102.328100
24.05	99.483880	105.876000	98.410830		103.433800		94.856990	103.723400	102.119600	97.008050	103.327100	95.848060
25.98	103.366100	96.533640	93.322810		93.995680		108.252800	99.755070	100.727600	102.776700	98.710940	98.980970
28.00	104.085800	98.840000	99.972860		102.740900		98.187000	101.182700	96.713730	97.454720	103.229900	90.897660
30.00	98.418110	99.570440	97.961650		98.837320		96.386210	103.690700	91.297990	104.898500	100.390500	103.638700
31.99	94.436530	92.996530	98.177890		99.762930		100.608900	99.067410	102.405900	100.138600	98.950410	101.795100
33.99	107.719300	102.212700	99.461620		101.900900		99.039830	98.988330	95.494700	97.812530	103.683000	104.248300
35.99	96.185740	108.360000	103.722600		97.930440		100.112200	102.539100	92.237160	97.980130	99.680630	97.735240
37.99	105.940500	102.323200	102.458000		96.550290		103.852300	97.695480	110.326900	102.956400	101.617500	106.509100
40.03	100.355200	103.421400	99.879640		103.066800		102.513500	97.530360	102.191000	102.191900	103.367300	95.374820
41.99	96.860180	100.918400	97.916930		105.266400		96.858680	96.976900	106.512800	103.438800	98.915980	107.328700
44.01	100.532300	96.908930	97.116440		99.463810		103.664200	108.590000	101.180600	100.198600	101.970600	108.568000
46.01	104.169700	103.856200	99.665570		105.178700		100.448000	104.624800	106.353500	99.358940	104.085300	102.083900
48.01	97.119100	102.152000	104.567600		100.904500		99.867200	97.052900	110.092300	99.137780	100.729100	101.877100
49.97	103.795300	103.907800	104.077100		97.941120		102.464600	106.342300	106.863000	100.226700	96.209780	104.562600
52.04	99.866570	104.622500	101.944000		102.305200		101.335000	101.870800	103.559100	101.064700	103.329200	98.167670
54.00	106.028400	108.743200	103.063700		102.202700		100.171600	104.305300	104.393200	96.620200	102.938100	103.779300
55.98	100.589900	100.954300	105.707900		101.160400		97.481350	104.239000	101.674700	105.921500	96.343150	105.057700
57.97	102.236200	98.152040	102.601800		104.856600		99.474200	100.676000	96.919790	102.067400	103.167100	99.342150
59.95	106.405900	96.431200	95.633560		101.369900		104.063300	98.384110	106.496400	101.691700	100.152300	99.502880
61.96	99.530850	100.119100	100.307100		97.840030		92.231040	97.510560	96.449860	94.390190	100.278900	97.926320
64.02	102.512900	98.007510	100.811500		106.207100		94.365600	102.113700	106.890800	99.725060	104.246400	101.476200
66.06	100.514700	107.021300	103.896400		105.093500		99.822330	97.446440	96.384850	101.247100	103.928600	97.292710
67.98	100.082900	100.539700	92.514930		101.330200		103.437700	100.066400	106.667100	104.197400	100.892900	96.016180
70.00	98.541710	100.756500	96.651050		92.721560		90.841510	96.659630	92.580500	96.249380	95.216390	99.553100
71.98	99.392780	96.772720	95.763160		96.936740		85.464690	97.762190	91.571460	97.914870	92.757090	93.637900
74.04	89.759410	83.402850	89.735700		95.655470		85.266770	87.502800	92.065450	88.157070	90.754910	84.938930
76.01	84.058110	94.659360	75.096440		93.258240		73.752920	81.817800	85.369260	74.659050	76.417850	80.660830
78.02	59.788130	72.631300	70.935640		75.609540		68.446960	51.096220	78.137030	53.957530	58.777710	70.484480
80.02	31.212000	46.103000	26.086860		56.916630		23.168100	12.369940	38.623980	16.687760	30.672190	29.977510
82.05	9.201461	14.722860	-1.210990		18.345690		1.113867	-0.828580	14.629670	-1.689380	4.245425	5.672662
83.98	-4.274590	4.747197	-7.284300		3.933890		-6.380920	3.013303	7.729877	-6.407210	-4.159810	0.857602
85.94	-0.674810	8.644243	-6.487460		6.193036		-3.414730	0.167380	-0.494550	4.608356	-2.072010	6.789656
88.02	5.637125	-2.916390	0.975838		-6.446500		0.169530	-2.228190	3.801639	-1.419260	2.435523	4.641978
90.02	-4.498410	-3.159860	1.216495		5.773892		-1.096770	5.422742	4.318468	0.769485	3.406959	0.013773
91.98	-3.248740	-4.538420	2.104254		-12.925900		2.333619	-0.237200	4.739713	-5.734440	-1.657320	-15.439100
93.96	1.768559	-1.876710	-3.125550		1.399547		-0.780410	-4.569660	-2.788560	0.198213	2.567535	-4.472570
94.94	1.016275	3.847128	5.316423		6.005903		2.788763	1.444924	-9.576700	1.577650	-4.680680	8.466296
3.96												
7.98												
11.97												
15.99												
20.00												
23.99												
27.98												
31.99												
35.96												
39.99												
43.99												
48.00												
52.01												
56.01												
60.00												
64.04												
68.04												
71.95												
75.94												
79.97												
84.05												
87.99												
92.04												
95.08												
