"Time (min)"	Native	Refolded
0.000000	0.435	-0.002
0.083333	0.456	-0.008
0.166667	0.481	-0.008
0.250000	0.508	-0.007
0.333333	0.539	-0.007
0.416667	0.570	-0.006
0.500000	0.601	-0.005
0.583333	0.630	-0.005
0.666667	0.662	-0.003
0.750000	0.693	-0.002
0.833333	0.721	-0.002
0.916667	0.748	0.000
1.000000	0.774	0.001
1.083333	0.798	0.002
1.166667	0.823	0.003
1.250000	0.845	0.005
1.333333	0.868	0.005
1.416667	0.886	0.007
1.500000	0.907	0.008
1.583333	0.925	0.009
1.666667	0.942	0.011
1.750000	0.958	0.012
1.833333	0.974	0.013
1.916667	0.987	0.015
2.000000	1.002	0.016
2.083333	1.015	0.017
2.166667	1.027	0.018
2.250000	1.039	0.020
2.333333	1.050	0.021
2.416667	1.060	0.022
2.500000	1.071	0.023
2.583333	1.081	0.024
2.666667	1.087	0.026
2.750000	1.096	0.028
2.833333	1.105	0.029
2.916667	1.112	0.029
3.000000	1.121	0.030
3.083333	1.127	0.032
3.166667	1.132	0.033
3.250000	1.139	0.034
3.333333	1.145	0.036
3.416667	1.149	0.037
3.500000	1.154	0.038
3.583333	1.162	0.039
3.666667	1.165	0.041
3.750000	1.170	0.043
3.833333	1.173	0.043
3.916667	1.176	0.044
4.000000	1.182	0.045
4.083333	1.185	0.046
4.166667	1.189	0.049
4.250000	1.192	0.049
4.333333	1.194	0.050
4.416667	1.200	0.052
4.500000	1.203	0.052
4.583333	1.205	0.054
4.666667	1.209	0.055
4.750000	1.211	0.057
4.833333	1.214	0.059
4.916667	1.216	0.059
5.000000	1.219	0.060
