"Time (hr)"	"WT pKT"	"WT pKT"	"WT pKT"	"FEBS pKT"	"FEBS pKT"	"FEBS pKT"	"Shuf1 pKT"	"Shuf1 pKT"	"Shuf1 pKT"
0.25	0.014	0.017	0.018	0.013	0.016	0.014	0.020	0.020	0.023
0.50	0.016	0.018	0.020	0.013	0.016	0.014	0.021	0.021	0.024
0.75	0.019	0.023	0.023	0.016	0.019	0.017	0.024	0.023	0.027
1.00	0.025	0.027	0.029	0.020	0.023	0.021	0.028	0.028	0.032
1.25	0.033	0.044	0.036	0.027	0.029	0.027	0.035	0.035	0.039
1.50	0.043	0.044	0.048	0.036	0.038	0.037	0.044	0.044	0.048
1.75	0.058	0.060	0.064	0.049	0.051	0.051	0.056	0.056	0.061
2.00	0.081	0.083	0.088	0.068	0.071	0.071	0.073	0.073	0.077
2.25	0.101	0.099	0.109	0.092	0.093	0.093	0.092	0.092	0.095
2.50	0.135	0.133	0.146	0.118	0.119	0.122	0.114	0.111	0.111
2.75	0.181	0.168	0.190	0.156	0.157	0.162	0.135	0.137	0.135
3.00	0.215	0.210	0.240	0.196	0.196	0.202	0.161	0.164	0.161
3.25	0.273	0.254	0.281	0.241	0.238	0.244	0.193	0.195	0.189
3.50	0.311	0.295	0.325	0.285	0.281	0.287	0.229	0.229	0.221
3.75	0.353	0.338	0.363	0.329	0.325	0.331	0.265	0.268	0.255
4.00	0.389	0.371	0.400	0.368	0.361	0.366	0.301	0.303	0.291
4.25	0.417	0.398	0.426	0.400	0.393	0.398	0.336	0.333	0.322
4.50	0.454	0.427	0.460	0.430	0.423	0.428	0.366	0.360	0.352
4.75	0.481	0.461	0.486	0.460	0.452	0.459	0.394	0.383	0.378
5.00	0.512	0.485	0.519	0.492	0.484	0.489	0.420	0.406	0.403
5.25	0.546	0.512	0.552	0.524	0.516	0.521	0.447	0.429	0.429
5.50	0.579	0.545	0.585	0.555	0.548	0.553	0.476	0.453	0.459
5.75	0.608	0.581	0.621	0.589	0.582	0.587	0.505	0.479	0.487
6.00	0.643	0.609	0.656	0.624	0.618	0.623	0.535	0.506	0.517
6.25	0.679	0.641	0.689	0.660	0.651	0.657	0.567	0.533	0.549
6.50	0.710	0.674	0.724	0.692	0.684	0.690	0.599	0.562	0.583
6.75	0.748	0.707	0.764	0.732	0.723	0.730	0.633	0.594	0.613
7.00	0.785	0.745	0.796	0.768	0.761	0.767	0.667	0.626	0.647
7.25	0.819	0.774	0.834	0.801	0.793	0.801	0.700	0.656	0.678
7.50	0.856	0.811	0.866	0.834	0.826	0.835	0.735	0.689	0.711
7.75	0.886	0.837	0.895	0.868	0.862	0.869	0.772	0.726	0.746
8.00	0.906	0.858	0.925	0.902	0.896	0.903	0.809	0.758	0.783
8.25	0.939	0.889	0.954	0.935	0.930	0.937	0.844	0.794	0.818
