"Wavelength (nm)"	WT-ssrA	WT
250.0	-0.169680	-0.206490
249.9	-0.153140	-0.176990
249.8	-0.147970	-0.154340
249.7	-0.189240	-0.135360
249.6	-0.234930	-0.145540
249.5	-0.237030	-0.150290
249.4	-0.246190	-0.134030
249.3	-0.228960	-0.113720
249.2	-0.217120	-0.119300
249.1	-0.283380	-0.121260
249.0	-0.313590	-0.112990
248.9	-0.287600	-0.109850
248.8	-0.258600	-0.092170
248.7	-0.302420	-0.079640
248.6	-0.365220	-0.106640
248.5	-0.371180	-0.128620
248.4	-0.408090	-0.153980
248.3	-0.397560	-0.158550
248.2	-0.373940	-0.164300
248.1	-0.428210	-0.185780
248.0	-0.484960	-0.225160
247.9	-0.514960	-0.253610
247.8	-0.511660	-0.278650
247.7	-0.531720	-0.270830
247.6	-0.527750	-0.258890
247.5	-0.512450	-0.244620
247.4	-0.509560	-0.253990
247.3	-0.464460	-0.265500
247.2	-0.444260	-0.265940
247.1	-0.404070	-0.272870
247.0	-0.385090	-0.280350
246.9	-0.353580	-0.284700
246.8	-0.346330	-0.304790
246.7	-0.365680	-0.318220
246.6	-0.343120	-0.319140
246.5	-0.378860	-0.353250
246.4	-0.398210	-0.367060
246.3	-0.402370	-0.390670
246.2	-0.415950	-0.410100
246.1	-0.435030	-0.377470
246.0	-0.473120	-0.385130
245.9	-0.462510	-0.411330
245.8	-0.480820	-0.450630
245.7	-0.534930	-0.460000
245.6	-0.553870	-0.458030
245.5	-0.561500	-0.440260
245.4	-0.581870	-0.429970
245.3	-0.600900	-0.471870
245.2	-0.625000	-0.500160
245.1	-0.668300	-0.493220
245.0	-0.719290	-0.490200
244.9	-0.714350	-0.494350
244.8	-0.747240	-0.499360
244.7	-0.830340	-0.515920
244.6	-0.849740	-0.560280
244.5	-0.854350	-0.580620
244.4	-0.877750	-0.595890
244.3	-0.887520	-0.642550
244.2	-0.904220	-0.666940
244.1	-0.986660	-0.681750
244.0	-1.000760	-0.698340
243.9	-0.960930	-0.703110
243.8	-0.940090	-0.685140
243.7	-0.976510	-0.672740
243.6	-0.975630	-0.672530
243.5	-0.981490	-0.672360
243.4	-1.010170	-0.701620
243.3	-1.003110	-0.719040
243.2	-1.004240	-0.734220
243.1	-1.015340	-0.750820
243.0	-1.039270	-0.767840
242.9	-1.093360	-0.779850
242.8	-1.163170	-0.802720
242.7	-1.205000	-0.817390
242.6	-1.269580	-0.826260
242.5	-1.311830	-0.857270
242.4	-1.355950	-0.866140
242.3	-1.381290	-0.878920
242.2	-1.400290	-0.913290
242.1	-1.435600	-0.957230
242.0	-1.410690	-0.968040
241.9	-1.443880	-0.982770
241.8	-1.451760	-1.022760
241.7	-1.452270	-1.050520
241.6	-1.445660	-1.088580
241.5	-1.452300	-1.143990
241.4	-1.488450	-1.207570
241.3	-1.496790	-1.246590
241.2	-1.471220	-1.302180
241.1	-1.457500	-1.369810
241.0	-1.444150	-1.379870
240.9	-1.453730	-1.396820
240.8	-1.454000	-1.432900
240.7	-1.488480	-1.444470
240.6	-1.497610	-1.437840
240.5	-1.530680	-1.449760
240.4	-1.595920	-1.461420
240.3	-1.688650	-1.478620
240.2	-1.755260	-1.530700
240.1	-1.803440	-1.566210
240.0	-1.848260	-1.599220
239.9	-1.899470	-1.644970
239.8	-1.941630	-1.688980
239.7	-1.982180	-1.745440
239.6	-2.028670	-1.801630
239.5	-2.068700	-1.852120
239.4	-2.130250	-1.890880
239.3	-2.147060	-1.922160
239.2	-2.199560	-1.972760
239.1	-2.258550	-2.003370
239.0	-2.319680	-2.028930
238.9	-2.368480	-2.070880
238.8	-2.397070	-2.117040
238.7	-2.426670	-2.142660
238.6	-2.462340	-2.166240
238.5	-2.515220	-2.208470
238.4	-2.574090	-2.268300
238.3	-2.595350	-2.301460
238.2	-2.616830	-2.338220
238.1	-2.664930	-2.363180
238.0	-2.722800	-2.371650
237.9	-2.794430	-2.385400
237.8	-2.856960	-2.408550
237.7	-2.869580	-2.435410
237.6	-2.886530	-2.449330
237.5	-2.933540	-2.485650
237.4	-2.989220	-2.547500
237.3	-3.039760	-2.618870
237.2	-3.059870	-2.685990
237.1	-3.105780	-2.729000
237.0	-3.122540	-2.763720
236.9	-3.160170	-2.811020
236.8	-3.220010	-2.857650
236.7	-3.289180	-2.902090
236.6	-3.368440	-2.941200
236.5	-3.446430	-2.966540
236.4	-3.489990	-2.983620
236.3	-3.547870	-3.016370
236.2	-3.584850	-3.100590
236.1	-3.680390	-3.179020
236.0	-3.747330	-3.228340
235.9	-3.805140	-3.264200
235.8	-3.840430	-3.288190
235.7	-3.875460	-3.330690
235.6	-3.936060	-3.402180
235.5	-4.015130	-3.471380
235.4	-4.116710	-3.507270
235.3	-4.151230	-3.526380
235.2	-4.152090	-3.545590
235.1	-4.158310	-3.610560
235.0	-4.167820	-3.692510
234.9	-4.211660	-3.780100
234.8	-4.265180	-3.797010
234.7	-4.349270	-3.838660
234.6	-4.381220	-3.884450
234.5	-4.425600	-3.935370
234.4	-4.530940	-4.007010
234.3	-4.635680	-4.049870
234.2	-4.768290	-4.078410
234.1	-4.876210	-4.097840
234.0	-4.956570	-4.135660
233.9	-5.019920	-4.186380
233.8	-5.047360	-4.263020
233.7	-5.104820	-4.297540
233.6	-5.138780	-4.340880
233.5	-5.162340	-4.379920
233.4	-5.195150	-4.426790
233.3	-5.225760	-4.472560
233.2	-5.216850	-4.519270
233.1	-5.235950	-4.569570
233.0	-5.279080	-4.609790
232.9	-5.332630	-4.655830
232.8	-5.407390	-4.713880
232.7	-5.508220	-4.772250
232.6	-5.570100	-4.810350
