Temp	WT	WT	WT	WT-ssrA	WT-ssrA	WT-ssrA
3.99	96.486560	97.441050	99.677440	99.243960	94.020480	93.145310
5.94	100.128900	97.415940	97.027730	97.914010	100.163900	92.011850
7.96	90.929390	99.396020	90.345560	95.547780	91.680580	93.402690
9.97	99.931190	91.379760	99.103210	96.244270	100.325400	93.322970
11.99	93.936250	95.404570	102.160300	100.919800	96.391040	96.449720
13.97	94.093130	95.637620	92.279040	98.122010	96.167510	101.384500
15.98	97.550920	104.005900	104.153500	97.725530	97.191870	94.624070
18.00	101.943100	93.049830	104.330400	105.325900	97.151520	91.925650
19.99	99.883640	97.307140	103.714500	99.908870	96.172250	99.733470
21.97	97.522200	102.181700	101.545800	103.976000	99.571150	99.299820
24.00	99.483880	105.876000	98.410830	107.636200	100.200900	99.961630
25.99	103.366100	96.533640	93.322810	101.991100	100.169300	102.777000
27.97	104.085800	98.840000	99.972860	94.750340	102.744100	101.503300
30.02	98.418110	99.570440	97.961650	99.929630	97.616920	100.590800
31.99	94.436530	92.996530	98.177890	105.363700	96.261920	102.447600
33.97	107.719300	102.212700	99.461620	99.382580	101.126200	101.836400
35.99	96.185740	108.360000	103.722600	99.801570	97.511360	101.628600
38.01	105.940500	102.323200	102.458000	102.596100	106.224100	102.960800
39.98	100.355200	103.421400	99.879640	93.620690	103.169500	101.929300
41.99	96.860180	100.918400	97.916930	100.924600	97.808500	97.988940
44.00	100.532300	96.908930	97.116440	92.857060	109.957400	105.084200
46.04	104.169700	103.856200	99.665570	95.894910	105.189000	108.064300
48.03	97.119100	102.152000	104.567600	108.802900	97.706020	102.382700
50.02	103.795300	103.907800	104.077100	100.360300	93.564730	103.336300
52.00	99.866570	104.622500	101.944000	100.491100	103.909800	103.174700
54.04	106.028400	108.743200	103.063700	94.954980	107.984000	104.134100
56.02	100.589900	100.954300	105.707900	108.141500	104.821500	102.094000
58.02	102.236200	98.152040	102.601800	108.160800	100.895200	104.452800
60.01	106.405900	96.431200	95.633560	99.074000	104.303800	98.352590
61.99	99.530850	100.119100	100.307100	95.466230	96.213820	99.799430
64.03	102.512900	98.007510	100.811500	105.173400	94.063430	96.019560
66.05	100.514700	107.021300	103.896400	99.096880	98.271870	101.068400
68.04	100.082900	100.539700	92.514930	93.909880	95.769830	97.443370
70.05	98.541710	100.756500	96.651050	92.105240	93.727720	98.801540
72.00	99.392780	96.772720	95.763160	92.160200	95.021480	93.662630
73.95	89.759410	83.402850	89.735700	91.432630	87.883770	87.670740
75.98	84.058110	94.659360	75.096440	84.570670	75.124260	81.842850
77.94	59.788130	72.631300	70.935640	73.328230	56.206130	62.281250
79.92	31.212000	46.103000	26.086860	47.894780	19.113570	20.498810
82.08	9.201461	14.722860	-1.210990	10.556350	5.364858	0.578911
83.99	-4.274590	4.747197	-7.284300	-0.246830	-4.700310	-7.714710
85.97	-0.674810	8.644243	-6.487460	-3.729530	4.419538	-4.339430
88.03	5.637125	-2.916390	0.975838	-6.246190	-7.727690	-10.128500
90.05	-4.498410	-3.159860	1.216495	0.444689	-9.060300	8.294665
91.98	-3.248740	-4.538420	2.104254	-0.758810	6.252185	-4.061150
93.92	1.768559	-1.876710	-3.125550	5.660407	3.273474	2.083120
95.02	1.016275	3.847128	5.316423	4.876265	2.842787	8.151347
