"[cam] ug/ml"	Shuf1	Shuf1	Shuf1	WT	WT	WT
512.00	0.004	0.002	0.001	0.005	0.005	0.034
256.00	0.001	0.003	0.004	0.007	0.006	0.004
128.00	0.001	0.002	0.004	0.006	0.009	0.016
64.00	0.006	0.003	0.004	0.016	0.011	0.007
32.00	0.003	0.003	0.004	0.010	0.007	0.007
16.00	0.003	0.003	0.006	0.018	0.012	0.009
8.00	0.003	0.005	0.006	0.087	0.126	0.028
4.00	0.026	0.030	0.042	0.103	0.120	0.136
2.00	0.071	0.105	0.090	0.309	0.295	0.307
1.00	0.192	0.261	0.294	0.436	0.443	0.422
0.50	0.380	0.380	0.336	0.439	0.480	0.538
0.25	0.541	0.313	0.274	0.425	0.473	0.586
