"Wavelength (nm)"	WT	Shuf1	FEBS
250.0	-0.158120	-0.205160	-0.322010
249.9	-0.174540	-0.233390	-0.356180
249.8	-0.187890	-0.262250	-0.378350
249.7	-0.171920	-0.297100	-0.344260
249.6	-0.170340	-0.349850	-0.348770
249.5	-0.161510	-0.341080	-0.368980
249.4	-0.168680	-0.338090	-0.380560
249.3	-0.148520	-0.289680	-0.338730
249.2	-0.107880	-0.180210	-0.283280
249.1	-0.107180	-0.134090	-0.281250
249.0	-0.135230	-0.150090	-0.298640
248.9	-0.119530	-0.127650	-0.262050
248.8	-0.111690	-0.089300	-0.255260
248.7	-0.166110	-0.104230	-0.287130
248.6	-0.231050	-0.159630	-0.334150
248.5	-0.290610	-0.234220	-0.395810
248.4	-0.337140	-0.348100	-0.501840
248.3	-0.365530	-0.423620	-0.548020
248.2	-0.409370	-0.483330	-0.584590
248.1	-0.473610	-0.531560	-0.677510
248.0	-0.494360	-0.572890	-0.765530
247.9	-0.452310	-0.578740	-0.744810
247.8	-0.381630	-0.576800	-0.683840
247.7	-0.314250	-0.515570	-0.618630
247.6	-0.263780	-0.434180	-0.515510
247.5	-0.220280	-0.376820	-0.458820
247.4	-0.184310	-0.333360	-0.426330
247.3	-0.145160	-0.284200	-0.344430
247.2	-0.174270	-0.232420	-0.280490
247.1	-0.189720	-0.206870	-0.265300
247.0	-0.268860	-0.195770	-0.296710
246.9	-0.380430	-0.239260	-0.334250
246.8	-0.453960	-0.279100	-0.401310
246.7	-0.494960	-0.306910	-0.411730
246.6	-0.504130	-0.314310	-0.402800
246.5	-0.511390	-0.305850	-0.417350
246.4	-0.458940	-0.307720	-0.398190
246.3	-0.442270	-0.315730	-0.388030
246.2	-0.409320	-0.321220	-0.388850
246.1	-0.402910	-0.336320	-0.406480
246.0	-0.371050	-0.293380	-0.394720
245.9	-0.401680	-0.316250	-0.436230
245.8	-0.393750	-0.324230	-0.448640
245.7	-0.419780	-0.335400	-0.470040
245.6	-0.472600	-0.369280	-0.477140
245.5	-0.492990	-0.358630	-0.501660
245.4	-0.480950	-0.307430	-0.469900
245.3	-0.408800	-0.279670	-0.435140
245.2	-0.357570	-0.295350	-0.443740
245.1	-0.319960	-0.265010	-0.406430
245.0	-0.305200	-0.261920	-0.376960
244.9	-0.292470	-0.297210	-0.383060
244.8	-0.263940	-0.331210	-0.432030
244.7	-0.269300	-0.417180	-0.473350
244.6	-0.314460	-0.512990	-0.511870
244.5	-0.385760	-0.555990	-0.577090
244.4	-0.457620	-0.573290	-0.616830
244.3	-0.533940	-0.622190	-0.685580
244.2	-0.564300	-0.692740	-0.741830
244.1	-0.598240	-0.730820	-0.752390
244.0	-0.653290	-0.733060	-0.703250
243.9	-0.619280	-0.657880	-0.616720
243.8	-0.665720	-0.614640	-0.598860
243.7	-0.707120	-0.636400	-0.603810
243.6	-0.742040	-0.644540	-0.584080
243.5	-0.749150	-0.690420	-0.590160
243.4	-0.790050	-0.722720	-0.596350
