"[GdnHCl] (M)"	WT	WT	WT	"FEBS "	"FEBS "	"FEBS "	Shuf1	Shuf1	Shuf1
0.00	106.374956800	97.314712420	100.175709200	106.166038700	97.641888600	100.780813800	105.943781100	96.928576590	105.505607500
0.50	108.043662000	98.428685140	94.712639110	101.571584500	100.104295300	101.873571000	101.895559800	95.590086300	99.225966530
1.00	104.327143000	91.326900410	99.103757360	101.638879400	94.777415670	97.151839410	100.244077000	96.485649890	96.287322670
1.25	99.415909430	93.499355430	95.877162840	98.788945030	97.183459920	95.711339870	100.084499100	96.873401170	93.378130700
1.50	94.931287480	90.844147850	87.009566130	93.670081990	91.700142040	91.300826910	96.042661900	89.764469270	92.198003110
1.75	68.562941910	76.406851220	62.656505160	70.495038270	57.680957750	74.167911080	71.030764440	55.335913060	64.319452120
2.00	22.881128290	34.977420170	29.422334400	23.556749530	35.071271100	28.842995930	23.119188830	24.470302280	29.375101190
2.25	11.669040290	11.804572370	10.995084370	12.087460410	14.961940430	11.581062970	13.956988260	11.872633160	13.894459520
2.50	6.376848521	4.793629436	5.883908808	6.843303660	6.353054168	6.853720977	7.404833745	6.051668653	7.010308670
3.00	1.953805584	1.988200717	0.594936868	4.934783300	-0.389684026	0.558984250	1.647775776	-0.706528753	0.985677244
3.50	2.202219973	-2.378740069	-0.873300123	1.706547840	-0.730007598	-2.308677150	1.210032411	-2.744405863	-1.064236374
4.00	1.447073675	-2.856220023	-1.531046279	1.897514854	-2.006862232	-2.298786675	1.190842914	-1.362199588	-1.067700656
