"Time (hr)"	WTsN	WTsN	WTsN	WTsM	WTsM	WTsM	WTsC	WTsC	WTsC	WT	WT	WT	Shuf1	Shuf1	Shuf1
0.25	0.017	0.018	0.018	0.019	0.018	0.026	0.019	0.016	0.018	0.017			0.018		
0.50	0.017	0.019	0.018	0.019	0.018	0.021	0.020	0.016	0.020	0.017			0.018		
0.75	0.018	0.019	0.018	0.020	0.019	0.022	0.021	0.017	0.020	0.018			0.019		
1.00	0.019	0.019	0.019	0.020	0.019	0.022	0.021	0.017	0.020	0.019			0.020		
1.25	0.018	0.019	0.019	0.020	0.019	0.023	0.023	0.019	0.022	0.020			0.020		
1.50	0.019	0.020	0.019	0.021	0.020	0.023	0.026	0.023	0.026	0.023			0.020		
1.75	0.019	0.020	0.020	0.022	0.022	0.025	0.031	0.028	0.031	0.028			0.020		
2.00	0.020	0.021	0.022	0.025	0.025	0.028	0.039	0.036	0.039	0.036			0.020		
2.25	0.022	0.024	0.025	0.029	0.030	0.034	0.048	0.047	0.052	0.046			0.020		
2.50	0.025	0.028	0.030	0.035	0.037	0.042	0.063	0.063	0.069	0.060			0.021		
2.75	0.029	0.034	0.038	0.043	0.047	0.054	0.081	0.084	0.092	0.084			0.020		
3.00	0.036	0.042	0.048	0.054	0.062	0.070	0.101	0.103	0.114	0.099			0.020		
3.25	0.048	0.054	0.063	0.070	0.082	0.090	0.135	0.136	0.149	0.132			0.020		
3.50	0.064	0.070	0.081	0.090	0.101	0.113	0.169	0.177	0.190	0.170			0.021		
3.75	0.074	0.087	0.101	0.110	0.129	0.144	0.221	0.220	0.237	0.210			0.021		
4.00	0.087	0.111	0.129	0.140	0.166	0.182	0.255	0.260	0.278	0.257			0.022		
4.25	0.116	0.140	0.163	0.174	0.205	0.224	0.300	0.299	0.319	0.297			0.022		
4.50	0.167	0.174	0.199	0.212	0.245	0.270	0.341	0.339	0.359	0.341			0.024		
4.75	0.191	0.210	0.237	0.259	0.282	0.303	0.372	0.374	0.395	0.378			0.025		
5.00	0.230	0.248	0.274	0.293	0.322	0.345	0.403	0.403	0.427	0.412			0.027		
5.25	0.261	0.283	0.308	0.330	0.354	0.374	0.433	0.429	0.456	0.440			0.029		
5.50	0.282	0.317	0.341	0.360	0.384	0.401	0.463	0.457	0.485	0.467			0.032		
5.75	0.313	0.347	0.370	0.383	0.411	0.429	0.492	0.486	0.514	0.498			0.036		
6.00	0.336	0.373	0.397	0.418	0.436	0.454	0.516	0.514	0.543	0.524			0.040		
6.25	0.361	0.398	0.421	0.445	0.463	0.478	0.544	0.541	0.572	0.553			0.045		
6.50	0.384	0.420	0.444	0.467	0.489	0.505	0.571	0.569	0.600	0.581			0.051		
6.75	0.408	0.444	0.467	0.495	0.515	0.531	0.595	0.595	0.628	0.610			0.057		
7.00	0.436	0.469	0.492	0.521	0.541	0.557	0.626	0.621	0.655	0.634			0.063		
7.25	0.459	0.493	0.515	0.547	0.565	0.581	0.653	0.647	0.681	0.662			0.069		
7.50	0.486	0.518	0.540	0.569	0.591	0.607	0.680	0.673	0.709	0.688			0.074		
7.75	0.507	0.542	0.564	0.600	0.616	0.630	0.710	0.701	0.736	0.716			0.081		
8.00	0.531	0.567	0.589	0.621	0.640	0.654	0.735	0.727	0.763	0.744			0.085		
8.25	0.559	0.591	0.613	0.643	0.666	0.679	0.760	0.752	0.790	0.770			0.092		
