Codon	WT	Shuf1
1	1.90	
2	3.70	
2	4.10	
2	4.30	
2	4.30	
3	3.70	
3	4.10	
3	4.30	
4	3.70	
4	4.00	
4	4.10	
4	4.30	
5	1.50	
5	2.10	
5	2.20	
6	-1.40	
7	-0.60	
8	-0.60	
9	-0.60	
9	-0.20	
9	0.40	
10	-1.80	
10	-1.60	
11	-2.00	
11	-1.40	
12	-2.00	
12	-1.80	
13	-1.60	
13	-0.80	
14	-2.70	
15	-2.70	
16	-2.70	
16	-1.70	
17	-2.70	
18	-2.70	
19	-2.70	
19	-2.50	
19	-2.50	
20	-7.40	
20	-6.40	
21	-1.20	
21	-0.30	
21	-0.30	
21	-0.20	
22	-1.20	
22	-1.20	
22	-0.30	
23	0.20	
23	0.30	
23	0.40	
23	1.10	
24	-0.10	
24	0.20	
24	0.30	
24	0.40	
24	0.50	
25	-1.40	
25	-1.20	
25	-1.00	
25	-0.50	
25	-0.40	
26	-1.70	
26	-0.70	
27	-1.70	
27	-1.00	
27	-1.00	
27	-0.70	
28	-3.20	
29	-2.10	
30	-2.10	
30	-2.10	
31	-3.60	
32	-3.20	
33	-3.20	
33	-2.70	
34	-3.20	
35	-1.90	
35	-1.00	
36	-1.90	
37	0.20	
37	0.80	
37	1.20	
38	0.20	
38	0.40	
38	1.20	
39	0.40	
39	1.20	
40	-2.10	
41	-2.10	
42	-2.10	
42	-1.70	
43	-2.20	
44	-2.10	
44	-1.70	
44	-1.60	
45	-2.20	
45	-2.00	
46	-1.60	
47	-1.60	
48	-1.60	
48	-1.20	
49	0.00	
49	0.40	
49	0.50	
49	0.60	
49	0.70	
49	1.00	
49	1.00	
50	-6.50	
51	-2.30	
51	-2.30	
52	-2.30	
53	0.00	
53	0.20	
53	1.00	
54	0.20	
54	0.70	
54	1.10	
54	1.20	
55	-0.70	
56	-2.40	
57	-2.40	
57	-1.60	
57	-1.50	
58	-2.40	
58	-1.90	
58	-1.70	
58	-1.50	
58	-1.40	
59	-3.10	
59	-2.90	
59	-2.20	
59	-2.20	
60	-2.90	
61	-2.90	
61	-2.50	
62	-2.90	
62	-2.50	
62	-2.50	
62	-2.20	
63	-2.90	
63	-2.50	
63	-2.20	
64	-2.60	
64	-2.50	
64	-2.20	
64	-2.10	
65	-1.60	
65	-1.10	
65	-0.70	
66	-3.50	
67	-2.80	
67	-2.30	
68	-4.10	
69	-3.10	
69	-2.60	
70	-2.80	
71	-1.20	
72	0.00	
72	0.80	
73	0.00	
73	0.80	
74	0.00	
74	0.80	
75	1.60	
75	1.80	
75	2.20	
76	1.10	
76	1.20	
76	1.60	
76	2.00	
77	-2.60	
77	-2.50	
77	-2.20	
